origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,1,1,23,1.1,-9.4,45.43,310.0,5.66,6.51,0.0,1014.1,16093.4,2/01/2013 0:00
EWR,2013,1,2,0,0.6,-10.6,42.84,320.0,4.63,5.33,0.0,1014.4,16093.4,2/01/2013 1:00
EWR,2013,1,2,1,0.0,-9.4,49.19,310.0,6.69,7.7,0.0,1015.2,16093.4,2/01/2013 2:00
EWR,2013,1,2,2,-1.1,-10.6,48.48,320.0,8.23,9.47,0.0,1016.0,16093.4,2/01/2013 3:00
EWR,2013,1,2,3,-1.7,-11.1,48.69,320.0,8.23,9.47,0.0,1016.5,16093.4,2/01/2013 4:00
EWR,2013,1,2,4,-2.2,-11.7,48.15,310.0,7.2,8.29,0.0,1016.4,16093.4,2/01/2013 5:00
EWR,2013,1,2,5,-2.8,-11.7,50.34,310.0,6.69,7.7,0.0,1016.3,16093.4,2/01/2013 6:00
EWR,2013,1,2,6,-3.3,-11.7,52.25,330.0,5.66,6.51,0.0,1016.3,16093.4,2/01/2013 7:00
EWR,2013,1,2,7,-3.9,-11.7,54.65,330.0,6.17,7.1,0.0,1017.0,16093.4,2/01/2013 8:00
EWR,2013,1,2,8,-4.4,-12.8,51.93,320.0,6.69,7.7,0.0,1016.6,16093.4,2/01/2013 9:00
EWR,2013,1,2,9,-4.4,-12.8,51.93,330.0,5.66,6.51,0.0,1016.9,16093.4,2/01/2013 10:00
EWR,2013,1,2,10,-4.4,-12.8,51.93,330.0,3.09,3.55,0.0,1016.9,16093.4,2/01/2013 11:00
EWR,2013,1,2,11,-4.4,-12.8,51.93,310.0,1.54,1.78,0.0,1017.2,16093.4,2/01/2013 12:00
EWR,2013,1,2,12,-3.9,-12.2,52.5,300.0,3.09,3.55,0.0,1017.6,16093.4,2/01/2013 13:00
EWR,2013,1,2,13,-3.9,-12.2,52.5,280.0,4.12,4.74,0.0,1018.5,16093.4,2/01/2013 14:00
EWR,2013,1,2,14,-2.8,-12.2,48.36,290.0,5.14,5.92,0.0,1019.0,16093.4,2/01/2013 15:00
EWR,2013,1,2,15,-1.7,-11.7,46.41,280.0,4.12,4.74,0.0,1018.5,16093.4,2/01/2013 16:00
EWR,2013,1,2,16,-0.6,-11.1,44.92,300.0,6.69,7.7,0.0,1017.5,16093.4,2/01/2013 17:00
EWR,2013,1,2,17,0.0,-10.6,44.74,290.0,5.66,6.51,0.0,1017.1,16093.4,2/01/2013 18:00
EWR,2013,1,2,18,1.1,-10.6,41.33,290.0,7.2,8.29,0.0,1017.3,16093.4,2/01/2013 19:00
EWR,2013,1,2,19,1.1,-11.7,37.86,310.0,7.72,8.88,0.0,1017.8,16093.4,2/01/2013 20:00
EWR,2013,1,2,20,1.1,-11.1,39.72,310.0,6.17,7.1,0.0,1018.5,16093.4,2/01/2013 21:00
EWR,2013,1,2,21,0.0,-10.6,44.74,310.0,3.09,3.55,0.0,1018.6,16093.4,2/01/2013 22:00
EWR,2013,1,2,22,0.0,-10.6,44.74,290.0,5.66,6.51,0.0,1019.7,16093.4,2/01/2013 23:00
EWR,2013,1,2,23,-0.6,-10.6,46.74,300.0,5.14,5.92,0.0,1020.3,16093.4,3/01/2013 0:00
EWR,2013,1,3,0,-0.6,-10.0,49.01,290.0,3.09,3.55,0.0,1020.4,16093.4,3/01/2013 1:00
EWR,2013,1,3,1,-1.1,-10.0,50.84,280.0,4.12,4.74,0.0,1020.6,16093.4,3/01/2013 2:00
EWR,2013,1,3,2,-1.1,-10.0,50.84,270.0,2.57,2.96,0.0,1021.2,16093.4,3/01/2013 3:00
EWR,2013,1,3,3,-1.7,-9.4,55.69,270.0,3.6,4.14,0.0,1021.7,16093.4,3/01/2013 4:00
EWR,2013,1,3,4,-1.7,-9.4,55.69,280.0,4.12,4.74,0.0,1022.2,16093.4,3/01/2013 5:00
EWR,2013,1,3,5,-2.2,-9.4,57.79,290.0,3.6,4.14,0.0,1021.8,16093.4,3/01/2013 6:00
EWR,2013,1,3,6,-2.2,-9.4,57.79,280.0,4.63,5.33,0.0,1022.1,16093.4,3/01/2013 7:00
EWR,2013,1,3,7,-2.8,-9.4,60.41,270.0,3.6,4.14,0.0,1022.3,16093.4,3/01/2013 8:00
EWR,2013,1,3,8,-2.8,-9.4,60.41,280.0,3.09,3.55,0.0,1022.1,16093.4,3/01/2013 9:00
EWR,2013,1,3,9,-3.3,-9.4,62.7,290.0,2.57,2.96,0.0,1021.9,16093.4,3/01/2013 10:00
EWR,2013,1,3,10,-3.3,-9.4,62.7,290.0,2.57,2.96,0.0,1022.0,16093.4,3/01/2013 11:00
EWR,2013,1,3,11,-3.3,-8.9,65.21,310.0,3.09,3.55,0.0,1022.4,16093.4,3/01/2013 12:00
EWR,2013,1,3,12,-3.3,-8.9,65.21,320.0,2.57,2.96,0.0,1022.2,16093.4,3/01/2013 13:00
EWR,2013,1,3,13,-2.8,-8.3,65.84,310.0,2.57,2.96,0.0,1022.4,16093.4,3/01/2013 14:00
EWR,2013,1,3,14,-2.2,-8.3,62.97,290.0,2.57,2.96,0.0,1022.8,16093.4,3/01/2013 15:00
EWR,2013,1,3,15,-0.6,-9.4,51.38,290.0,4.12,4.74,0.0,1022.1,16093.4,3/01/2013 16:00
EWR,2013,1,3,16,-0.6,-10.0,49.01,,2.06,2.37,0.0,1021.0,16093.4,3/01/2013 17:00
EWR,2013,1,3,17,0.6,-10.6,42.84,260.0,3.6,4.14,0.0,1019.8,16093.4,3/01/2013 18:00
EWR,2013,1,3,18,1.1,-10.6,41.33,260.0,4.12,4.74,0.0,1019.1,16093.4,3/01/2013 19:00
EWR,2013,1,3,19,1.1,-10.6,41.33,240.0,3.6,4.14,0.0,1018.7,16093.4,3/01/2013 20:00
EWR,2013,1,3,20,0.6,-10.0,44.92,250.0,5.14,5.92,0.0,1018.8,16093.4,3/01/2013 21:00
EWR,2013,1,3,21,0.0,-10.0,46.92,270.0,4.63,5.33,0.0,1018.9,16093.4,3/01/2013 22:00
EWR,2013,1,3,22,-1.1,-9.4,53.29,240.0,4.12,4.74,0.0,1019.3,16093.4,3/01/2013 23:00
EWR,2013,1,3,23,-0.6,-9.4,51.38,240.0,4.63,5.33,0.0,1019.6,16093.4,4/01/2013 0:00
EWR,2013,1,4,0,-0.6,-9.4,51.38,230.0,5.14,5.92,0.0,1019.6,16093.4,4/01/2013 1:00
EWR,2013,1,4,1,-0.6,-9.4,51.38,240.0,5.14,5.92,0.0,1019.4,16093.4,4/01/2013 2:00
EWR,2013,1,4,2,-0.6,-8.9,53.44,240.0,5.66,6.51,0.0,1019.0,16093.4,4/01/2013 3:00
EWR,2013,1,4,3,-1.7,-8.3,60.69,230.0,4.63,5.33,0.0,1019.0,16093.4,4/01/2013 4:00
EWR,2013,1,4,4,-1.1,-7.8,60.38,240.0,4.63,5.33,0.0,1018.4,16093.4,4/01/2013 5:00
EWR,2013,1,4,5,-1.1,-7.8,60.38,240.0,6.17,7.1,0.0,1018.0,16093.4,4/01/2013 6:00
EWR,2013,1,4,6,-1.7,-7.8,63.1,230.0,3.6,4.14,0.0,1018.1,16093.4,4/01/2013 7:00
EWR,2013,1,4,7,-1.1,-7.2,63.24,240.0,4.63,5.33,0.0,1018.3,16093.4,4/01/2013 8:00
EWR,2013,1,4,8,-1.7,-7.2,66.09,250.0,5.14,5.92,0.0,1018.2,16093.4,4/01/2013 9:00
EWR,2013,1,4,9,-1.7,-6.7,68.68,230.0,3.09,3.55,0.0,1018.4,16093.4,4/01/2013 10:00
EWR,2013,1,4,10,-0.6,-6.1,66.34,240.0,5.14,5.92,0.0,1018.4,16093.4,4/01/2013 11:00
EWR,2013,1,4,11,0.6,-6.1,60.81,230.0,7.2,8.29,0.0,1018.7,16093.4,4/01/2013 12:00
EWR,2013,1,4,12,1.1,-5.6,60.93,240.0,4.63,5.33,0.0,1018.7,16093.4,4/01/2013 13:00
EWR,2013,1,4,13,1.7,-5.6,58.37,250.0,6.17,7.1,0.0,1019.0,16093.4,4/01/2013 14:00
EWR,2013,1,4,14,2.2,-6.1,54.21,250.0,6.69,7.7,0.0,1019.0,16093.4,4/01/2013 15:00
EWR,2013,1,4,15,2.8,-7.2,47.75,260.0,7.2,8.29,0.0,1018.1,16093.4,4/01/2013 16:00
EWR,2013,1,4,16,2.8,-7.2,47.75,270.0,9.26,10.66,0.0,1016.9,16093.4,4/01/2013 17:00
EWR,2013,1,4,17,4.4,-6.7,44.33,260.0,7.72,8.88,0.0,1015.8,16093.4,4/01/2013 18:00
EWR,2013,1,4,18,3.3,-7.2,46.09,250.0,10.8,12.43,0.0,1015.1,16093.4,4/01/2013 19:00
EWR,2013,1,4,19,3.3,-6.7,47.89,250.0,9.77,11.25,0.0,1014.7,16093.4,4/01/2013 20:00
EWR,2013,1,4,20,3.3,-6.7,47.89,250.0,8.23,9.47,0.0,1014.6,16093.4,4/01/2013 21:00
EWR,2013,1,4,21,2.8,-6.7,49.62,250.0,7.72,8.88,0.0,1014.8,16093.4,4/01/2013 22:00
EWR,2013,1,4,22,2.2,-6.1,54.21,230.0,6.17,7.1,0.0,1015.2,16093.4,4/01/2013 23:00
EWR,2013,1,4,23,1.7,-6.1,56.18,230.0,4.12,4.74,0.0,1015.4,16093.4,5/01/2013 0:00
EWR,2013,1,5,0,1.7,-6.1,56.18,240.0,5.14,5.92,0.0,1015.5,16093.4,5/01/2013 1:00
EWR,2013,1,5,1,1.7,-6.7,53.66,250.0,5.14,5.92,0.0,1015.3,16093.4,5/01/2013 2:00
EWR,2013,1,5,2,1.7,-6.7,53.66,250.0,6.17,7.1,0.0,1015.7,16093.4,5/01/2013 3:00
EWR,2013,1,5,3,1.1,-7.2,53.91,250.0,5.14,5.92,0.0,1016.2,16093.4,5/01/2013 4:00
EWR,2013,1,5,4,0.6,-7.2,55.89,240.0,5.14,5.92,0.0,1016.6,16093.4,5/01/2013 5:00
EWR,2013,1,5,5,0.6,-7.8,53.36,260.0,4.63,5.33,0.0,1017.1,16093.4,5/01/2013 6:00
EWR,2013,1,5,6,0.6,-8.3,51.33,270.0,4.63,5.33,0.0,1017.7,16093.4,5/01/2013 7:00
EWR,2013,1,5,7,0.0,-8.3,53.6,280.0,5.66,6.51,0.0,1018.8,16093.4,5/01/2013 8:00
EWR,2013,1,5,8,0.0,-8.3,53.6,290.0,8.23,9.47,0.0,1019.3,16093.4,5/01/2013 9:00
EWR,2013,1,5,9,0.0,-8.3,53.6,260.0,5.14,5.92,0.0,1020.2,16093.4,5/01/2013 10:00
EWR,2013,1,5,10,0.0,-8.3,53.6,240.0,5.66,6.51,0.0,1021.0,16093.4,5/01/2013 11:00
EWR,2013,1,5,11,0.6,-7.8,53.36,250.0,4.63,5.33,0.0,1022.4,16093.4,5/01/2013 12:00
EWR,2013,1,5,12,0.0,-7.2,58.37,250.0,4.12,4.74,0.0,1023.0,16093.4,5/01/2013 13:00
EWR,2013,1,5,13,1.7,-6.7,53.66,240.0,4.12,4.74,0.0,1024.5,16093.4,5/01/2013 14:00
EWR,2013,1,5,14,3.3,-6.1,50.14,270.0,4.63,5.33,0.0,1024.8,16093.4,5/01/2013 15:00
EWR,2013,1,5,15,5.0,-6.1,44.51,310.0,4.63,5.33,0.0,1024.9,16093.4,5/01/2013 16:00
EWR,2013,1,5,16,5.6,-6.7,40.77,320.0,6.69,7.7,0.0,1024.6,16093.4,5/01/2013 17:00
EWR,2013,1,5,17,6.1,-6.7,39.38,310.0,6.17,7.1,0.0,1023.9,16093.4,5/01/2013 18:00
EWR,2013,1,5,18,6.7,-6.7,37.79,290.0,5.14,5.92,0.0,1023.6,16093.4,5/01/2013 19:00
EWR,2013,1,5,19,6.7,-6.7,37.79,310.0,4.12,4.74,0.0,1024.0,16093.4,5/01/2013 20:00
EWR,2013,1,5,20,6.1,-7.2,37.9,310.0,3.6,4.14,0.0,1024.1,16093.4,5/01/2013 21:00
EWR,2013,1,5,21,5.0,-6.7,42.51,310.0,2.06,2.37,0.0,1024.0,16093.4,5/01/2013 22:00
EWR,2013,1,5,22,4.4,-6.7,44.33,280.0,2.06,2.37,0.0,1024.7,16093.4,5/01/2013 23:00
EWR,2013,1,5,23,3.9,-5.6,49.93,240.0,3.6,4.14,0.0,1025.0,16093.4,6/01/2013 0:00
EWR,2013,1,6,0,2.2,-5.6,56.32,240.0,3.09,3.55,0.0,1024.8,16093.4,6/01/2013 1:00
EWR,2013,1,6,1,1.1,-5.6,60.93,240.0,2.06,2.37,0.0,1024.2,16093.4,6/01/2013 2:00
EWR,2013,1,6,2,0.6,-5.0,66.11,220.0,2.06,2.37,0.0,1024.1,16093.4,6/01/2013 3:00
EWR,2013,1,6,3,0.6,-5.0,66.11,210.0,2.06,2.37,0.0,1023.3,16093.4,6/01/2013 4:00
EWR,2013,1,6,4,0.0,-5.0,69.04,210.0,2.06,2.37,0.0,1022.8,16093.4,6/01/2013 5:00
EWR,2013,1,6,5,1.1,-5.0,63.77,210.0,2.57,2.96,0.0,1023.3,16093.4,6/01/2013 6:00
EWR,2013,1,6,6,1.1,-5.0,63.77,230.0,4.12,4.74,0.0,1023.4,16093.4,6/01/2013 7:00
EWR,2013,1,6,7,1.1,-5.0,63.77,200.0,2.06,2.37,0.0,1022.5,16093.4,6/01/2013 8:00
EWR,2013,1,6,8,1.1,-4.4,66.72,200.0,2.57,2.96,0.0,1021.7,16093.4,6/01/2013 9:00
EWR,2013,1,6,9,0.6,-2.2,81.5,200.0,3.6,4.14,0.0,1020.5,16093.4,6/01/2013 10:00
EWR,2013,1,6,10,1.0,-1.0,86.49,210.0,2.06,2.37,0.0,,9656.04,6/01/2013 11:00
EWR,2013,1,6,11,1.1,-0.6,88.42,210.0,2.57,2.96,0.0,1020.3,9656.04,6/01/2013 12:00
EWR,2013,1,6,12,1.0,0.0,93.03,220.0,4.12,4.74,0.0,,9656.04,6/01/2013 13:00
EWR,2013,1,6,13,2.0,0.0,86.59,240.0,3.6,4.14,0.0,,9656.04,6/01/2013 14:00
EWR,2013,1,6,14,2.0,0.0,86.59,230.0,3.6,4.14,0.0,,11265.38,6/01/2013 15:00
EWR,2013,1,6,15,3.0,-1.0,74.98,250.0,5.14,5.92,0.0,,14484.06,6/01/2013 16:00
EWR,2013,1,6,16,6.1,-1.1,59.93,240.0,4.63,5.33,0.0,1017.4,16093.4,6/01/2013 17:00
EWR,2013,1,6,17,7.8,-1.7,51.03,250.0,4.63,5.33,0.0,1016.3,16093.4,6/01/2013 18:00
EWR,2013,1,6,18,8.3,-2.8,45.48,240.0,6.17,7.1,0.0,1015.5,16093.4,6/01/2013 19:00
EWR,2013,1,6,19,8.9,-3.9,40.22,250.0,6.69,7.7,0.0,1015.1,16093.4,6/01/2013 20:00
EWR,2013,1,6,20,8.3,-4.4,40.35,260.0,5.14,5.92,0.0,1015.0,16093.4,6/01/2013 21:00
EWR,2013,1,6,21,7.2,-3.3,47.23,260.0,3.09,3.55,0.0,1015.5,16093.4,6/01/2013 22:00
EWR,2013,1,6,22,6.7,-3.3,48.87,270.0,3.6,4.14,0.0,1016.0,16093.4,6/01/2013 23:00
EWR,2013,1,6,23,6.7,-3.9,46.73,250.0,4.63,5.33,0.0,1016.5,16093.4,7/01/2013 0:00
EWR,2013,1,7,0,6.1,-3.9,48.7,260.0,4.63,5.33,0.0,1016.6,16093.4,7/01/2013 1:00
EWR,2013,1,7,1,6.1,-3.3,50.94,270.0,4.63,5.33,0.0,1016.5,16093.4,7/01/2013 2:00
EWR,2013,1,7,2,5.6,-3.3,52.73,270.0,4.63,5.33,0.0,1016.7,16093.4,7/01/2013 3:00
EWR,2013,1,7,3,5.0,-2.8,57.06,270.0,3.09,3.55,0.0,1017.2,16093.4,7/01/2013 4:00
EWR,2013,1,7,4,4.4,-2.8,59.5,270.0,4.12,4.74,0.0,1017.6,16093.4,7/01/2013 5:00
EWR,2013,1,7,5,4.4,-2.8,59.5,260.0,3.6,4.14,0.0,1018.1,16093.4,7/01/2013 6:00
EWR,2013,1,7,6,3.3,-2.8,64.29,270.0,3.6,4.14,0.0,1018.7,16093.4,7/01/2013 7:00
EWR,2013,1,7,7,2.2,-2.8,69.51,280.0,3.09,3.55,0.0,1019.3,16093.4,7/01/2013 8:00
EWR,2013,1,7,8,2.8,-2.2,69.63,260.0,3.09,3.55,0.0,1019.8,16093.4,7/01/2013 9:00
EWR,2013,1,7,9,2.2,-2.2,72.66,280.0,4.12,4.74,0.0,1020.6,16093.4,7/01/2013 10:00
EWR,2013,1,7,10,1.7,-2.8,72.03,290.0,2.06,2.37,0.0,1021.7,16093.4,7/01/2013 11:00
EWR,2013,1,7,11,2.2,-2.2,72.66,270.0,3.09,3.55,0.0,1023.1,16093.4,7/01/2013 12:00
EWR,2013,1,7,12,3.3,-1.7,69.73,250.0,3.6,4.14,0.0,1024.1,16093.4,7/01/2013 13:00
EWR,2013,1,7,13,4.4,-1.7,64.54,280.0,2.57,2.96,0.0,1025.1,16093.4,7/01/2013 14:00
EWR,2013,1,7,14,6.7,-2.8,50.73,300.0,6.17,7.1,0.0,1025.9,16093.4,7/01/2013 15:00
EWR,2013,1,7,15,7.2,-4.4,43.49,320.0,6.69,7.7,0.0,1026.5,16093.4,7/01/2013 16:00
EWR,2013,1,7,16,7.8,-5.0,39.9,300.0,5.14,5.92,0.0,1026.6,16093.4,7/01/2013 17:00
EWR,2013,1,7,17,8.3,-5.6,36.85,300.0,6.69,7.7,0.0,1026.9,16093.4,7/01/2013 18:00
EWR,2013,1,7,18,7.8,-6.7,35.05,360.0,5.14,5.92,0.0,1027.1,16093.4,7/01/2013 19:00
EWR,2013,1,7,19,8.3,-6.7,33.88,290.0,5.14,5.92,0.0,1027.6,16093.4,7/01/2013 20:00
EWR,2013,1,7,20,7.2,-7.8,33.55,320.0,3.6,4.14,0.0,1028.4,16093.4,7/01/2013 21:00
EWR,2013,1,7,21,6.1,-7.8,36.18,330.0,3.09,3.55,0.0,1028.8,16093.4,7/01/2013 22:00
EWR,2013,1,7,22,5.6,-7.8,37.46,320.0,1.54,1.78,0.0,1029.1,16093.4,7/01/2013 23:00
EWR,2013,1,7,23,5.0,-7.2,40.9,310.0,2.06,2.37,0.0,1029.3,16093.4,8/01/2013 0:00
EWR,2013,1,8,0,4.4,-6.1,46.41,0.0,0.0,0.0,0.0,1029.3,16093.4,8/01/2013 1:00
EWR,2013,1,8,1,4.4,-6.1,46.41,0.0,0.0,0.0,0.0,1029.1,16093.4,8/01/2013 2:00
EWR,2013,1,8,2,2.8,-4.4,59.09,0.0,0.0,0.0,0.0,1028.9,16093.4,8/01/2013 3:00
EWR,2013,1,8,3,2.2,-5.0,58.94,230.0,1.54,1.78,0.0,1029.3,16093.4,8/01/2013 4:00
EWR,2013,1,8,4,0.0,-5.0,69.04,210.0,3.09,3.55,0.0,1029.2,16093.4,8/01/2013 5:00
EWR,2013,1,8,5,0.0,-5.0,69.04,210.0,1.54,1.78,0.0,1029.2,16093.4,8/01/2013 6:00
EWR,2013,1,8,6,0.0,-4.4,72.24,210.0,3.09,3.55,0.0,1029.0,16093.4,8/01/2013 7:00
EWR,2013,1,8,7,0.0,-3.9,75.0,190.0,1.54,1.78,0.0,1028.7,16093.4,8/01/2013 8:00
EWR,2013,1,8,8,-0.6,-3.3,81.95,190.0,2.06,2.37,0.0,1028.2,16093.4,8/01/2013 9:00
EWR,2013,1,8,9,-1.1,-3.9,81.27,240.0,2.06,2.37,0.0,1028.6,16093.4,8/01/2013 10:00
EWR,2013,1,8,10,-1.7,-4.4,81.8,210.0,2.06,2.37,0.0,1028.9,16093.4,8/01/2013 11:00
EWR,2013,1,8,11,-0.6,-3.9,78.35,0.0,0.0,0.0,0.0,1029.2,14484.06,8/01/2013 12:00
EWR,2013,1,8,12,-1.1,-3.9,81.27,210.0,2.57,2.96,0.0,1030.0,12874.72,8/01/2013 13:00
EWR,2013,1,8,13,1.7,-2.8,72.03,240.0,3.09,3.55,0.0,1030.5,14484.06,8/01/2013 14:00
EWR,2013,1,8,14,3.9,-1.7,66.85,230.0,4.12,4.74,0.0,1030.3,14484.06,8/01/2013 15:00
EWR,2013,1,8,15,6.7,-1.7,55.02,220.0,6.17,7.1,0.0,1029.7,14484.06,8/01/2013 16:00
EWR,2013,1,8,16,7.8,-1.1,53.33,230.0,4.63,5.33,0.0,1028.2,16093.4,8/01/2013 17:00
EWR,2013,1,8,17,8.3,-1.1,51.55,230.0,6.69,7.7,0.0,1027.9,16093.4,8/01/2013 18:00
EWR,2013,1,8,18,9.4,-1.1,47.86,240.0,5.14,5.92,0.0,1027.6,16093.4,8/01/2013 19:00
EWR,2013,1,8,19,9.4,-1.1,47.86,220.0,5.14,5.92,0.0,1027.9,16093.4,8/01/2013 20:00
EWR,2013,1,8,20,9.4,-2.2,44.14,240.0,5.14,5.92,0.0,1027.7,16093.4,8/01/2013 21:00
EWR,2013,1,8,21,7.8,-2.2,49.19,230.0,4.63,5.33,0.0,1027.8,16093.4,8/01/2013 22:00
EWR,2013,1,8,22,6.7,-1.7,55.02,220.0,3.09,3.55,0.0,1028.1,16093.4,8/01/2013 23:00
EWR,2013,1,8,23,4.4,-0.6,69.96,220.0,3.6,4.14,0.0,1028.7,16093.4,9/01/2013 0:00
EWR,2013,1,9,0,4.4,-0.6,69.96,200.0,2.57,2.96,0.0,1028.7,16093.4,9/01/2013 1:00
EWR,2013,1,9,1,3.9,-1.1,69.86,210.0,2.57,2.96,0.0,1028.6,16093.4,9/01/2013 2:00
EWR,2013,1,9,2,3.3,-1.7,69.73,210.0,1.54,1.78,0.0,1028.6,16093.4,9/01/2013 3:00
EWR,2013,1,9,3,3.3,-1.7,69.73,210.0,2.06,2.37,0.0,1029.3,16093.4,9/01/2013 4:00
EWR,2013,1,9,4,2.8,-1.7,72.24,230.0,2.06,2.37,0.0,1029.2,16093.4,9/01/2013 5:00
EWR,2013,1,9,5,2.2,-1.7,75.39,0.0,0.0,0.0,0.0,1029.1,16093.4,9/01/2013 6:00
EWR,2013,1,9,6,1.1,-1.7,81.57,0.0,0.0,0.0,0.0,1028.7,16093.4,9/01/2013 7:00
EWR,2013,1,9,7,1.7,-1.7,78.13,0.0,0.0,0.0,0.0,1028.5,16093.4,9/01/2013 8:00
EWR,2013,1,9,8,2.2,-1.1,78.79,0.0,0.0,0.0,0.0,1028.4,16093.4,9/01/2013 9:00
EWR,2013,1,9,9,2.2,-1.7,75.39,0.0,0.0,0.0,0.0,1028.2,16093.4,9/01/2013 10:00
EWR,2013,1,9,10,1.7,-1.7,78.13,0.0,0.0,0.0,0.0,1028.0,14484.06,9/01/2013 11:00
EWR,2013,1,9,11,1.7,-1.7,78.13,0.0,0.0,0.0,0.0,1028.4,14484.06,9/01/2013 12:00
EWR,2013,1,9,12,1.1,-1.1,85.24,260.0,2.06,2.37,0.0,1029.0,9656.04,9/01/2013 13:00
EWR,2013,1,9,13,2.8,-0.6,78.31,0.0,0.0,0.0,0.0,1028.7,11265.38,9/01/2013 14:00
EWR,2013,1,9,14,5.6,0.0,67.22,0.0,0.0,0.0,0.0,1028.3,11265.38,9/01/2013 15:00
EWR,2013,1,9,15,6.7,0.6,65.07,170.0,1.54,1.78,0.0,1026.4,11265.38,9/01/2013 16:00
EWR,2013,1,9,16,8.3,1.1,60.47,230.0,2.57,2.96,0.0,1025.9,11265.38,9/01/2013 17:00
EWR,2013,1,9,17,7.8,1.1,62.56,200.0,4.12,4.74,0.0,1024.1,14484.06,9/01/2013 18:00
EWR,2013,1,9,18,8.3,1.1,60.47,270.0,3.6,4.14,0.0,1024.7,14484.06,9/01/2013 19:00
EWR,2013,1,9,19,8.3,1.7,63.13,180.0,3.6,4.14,0.0,1021.1,12874.72,9/01/2013 20:00
EWR,2013,1,9,20,9.4,2.8,63.39,210.0,6.17,7.1,0.0,1020.7,14484.06,9/01/2013 21:00
EWR,2013,1,9,21,10.0,2.8,60.89,240.0,5.14,5.92,0.0,1021.0,16093.4,9/01/2013 22:00
EWR,2013,1,9,22,9.4,2.8,63.39,240.0,5.66,6.51,0.0,1021.7,16093.4,9/01/2013 23:00
EWR,2013,1,9,23,8.9,2.8,65.56,250.0,4.63,5.33,0.0,1022.1,16093.4,10/01/2013 0:00
EWR,2013,1,10,0,8.3,2.8,68.28,260.0,5.14,5.92,0.0,1022.6,16093.4,10/01/2013 1:00
EWR,2013,1,10,1,7.2,2.8,73.59,230.0,5.14,5.92,0.0,1022.5,16093.4,10/01/2013 2:00
EWR,2013,1,10,2,6.7,2.2,72.98,230.0,5.66,6.51,0.0,1022.5,16093.4,10/01/2013 3:00
EWR,2013,1,10,3,6.7,1.7,70.42,240.0,5.66,6.51,0.0,1023.0,16093.4,10/01/2013 4:00
EWR,2013,1,10,4,6.1,0.6,67.81,220.0,3.6,4.14,0.0,1023.7,16093.4,10/01/2013 5:00
